example_id                              | status | run_time        |
--------------------------------------- | ------ | --------------- |
./spec/error_handling_spec.rb[1:1:1]    | passed | 0.0002 seconds  |
./spec/error_handling_spec.rb[1:1:2]    | passed | 0.00022 seconds |
./spec/error_handling_spec.rb[1:1:3]    | passed | 0.0002 seconds  |
./spec/error_handling_spec.rb[1:1:4]    | passed | 0.00028 seconds |
./spec/error_handling_spec.rb[1:2:1]    | passed | 0.00018 seconds |
./spec/error_handling_spec.rb[1:2:2]    | passed | 0.00024 seconds |
./spec/error_handling_spec.rb[1:2:3]    | passed | 0.00059 seconds |
./spec/error_handling_spec.rb[1:2:4]    | passed | 0.00116 seconds |
./spec/error_handling_spec.rb[1:2:5]    | passed | 0.00021 seconds |
./spec/error_handling_spec.rb[1:3:1]    | passed | 0.00042 seconds |
./spec/error_handling_spec.rb[1:3:2]    | passed | 0.00018 seconds |
./spec/error_handling_spec.rb[1:3:3]    | passed | 0.00016 seconds |
./spec/error_handling_spec.rb[1:3:4]    | passed | 0.00018 seconds |
./spec/error_handling_spec.rb[1:3:5]    | passed | 0.00044 seconds |
./spec/error_handling_spec.rb[1:3:6]    | passed | 0.00027 seconds |
./spec/error_handling_spec.rb[1:4:1]    | passed | 0.00019 seconds |
./spec/error_handling_spec.rb[1:4:2]    | passed | 0.0002 seconds  |
./spec/error_handling_spec.rb[1:4:3]    | passed | 0.00053 seconds |
./spec/error_handling_spec.rb[1:4:4]    | passed | 0.00021 seconds |
./spec/error_handling_spec.rb[1:4:5]    | passed | 0.00032 seconds |
./spec/error_handling_spec.rb[1:4:6]    | passed | 0.00036 seconds |
./spec/error_handling_spec.rb[1:4:7]    | passed | 0.00024 seconds |
./spec/error_handling_spec.rb[1:4:8]    | passed | 0.00019 seconds |
./spec/error_handling_spec.rb[1:5:1]    | passed | 0.00015 seconds |
./spec/error_handling_spec.rb[1:5:2]    | passed | 0.00025 seconds |
./spec/error_handling_spec.rb[1:5:3]    | passed | 0.00013 seconds |
./spec/error_handling_spec.rb[1:6:1]    | passed | 0.00013 seconds |
./spec/error_handling_spec.rb[1:6:2]    | passed | 0.00011 seconds |
./spec/error_handling_spec.rb[1:7:1]    | passed | 0.00619 seconds |
./spec/error_handling_spec.rb[1:7:2]    | passed | 0.001 seconds   |
./spec/error_handling_spec.rb[1:7:3]    | passed | 0.0079 seconds  |
./spec/integration_spec.rb[1:1:1:1]     | passed | 0.02473 seconds |
./spec/integration_spec.rb[1:1:1:2]     | passed | 0.01144 seconds |
./spec/integration_spec.rb[1:1:1:3]     | passed | 0.00557 seconds |
./spec/integration_spec.rb[1:1:1:4]     | passed | 0.00655 seconds |
./spec/integration_spec.rb[1:1:1:5]     | passed | 0.0052 seconds  |
./spec/integration_spec.rb[1:1:1:6]     | passed | 0.00364 seconds |
./spec/integration_spec.rb[1:1:1:7]     | passed | 0.00355 seconds |
./spec/integration_spec.rb[1:1:2:1]     | passed | 0.0057 seconds  |
./spec/integration_spec.rb[1:1:2:2]     | passed | 0.00698 seconds |
./spec/integration_spec.rb[1:1:3:1]     | passed | 0.03377 seconds |
./spec/integration_spec.rb[1:1:3:2]     | passed | 0.0239 seconds  |
./spec/integration_spec.rb[1:1:4:1]     | passed | 0.00057 seconds |
./spec/integration_spec.rb[1:1:4:2]     | passed | 0.00145 seconds |
./spec/integration_spec.rb[1:1:4:3]     | passed | 0.00061 seconds |
./spec/integration_spec.rb[1:1:5:1]     | passed | 0.00636 seconds |
./spec/integration_spec.rb[1:1:5:2]     | passed | 0.00788 seconds |
./spec/integration_spec.rb[1:2:1]       | passed | 0.00887 seconds |
./spec/lru_spec.rb[1:1:1]               | passed | 0.00014 seconds |
./spec/lru_spec.rb[1:1:2]               | passed | 0.00016 seconds |
./spec/lru_spec.rb[1:1:3]               | passed | 0.00022 seconds |
./spec/lru_spec.rb[1:1:4]               | passed | 0.00017 seconds |
./spec/lru_spec.rb[1:2:1]               | passed | 0.0001 seconds  |
./spec/lru_spec.rb[1:2:2]               | passed | 0.00019 seconds |
./spec/lru_spec.rb[1:2:3]               | passed | 0.00016 seconds |
./spec/lru_spec.rb[1:2:4]               | passed | 0.00016 seconds |
./spec/lru_spec.rb[1:3:1:1]             | passed | 0.00017 seconds |
./spec/lru_spec.rb[1:3:1:2]             | passed | 0.00016 seconds |
./spec/lru_spec.rb[1:3:1:3]             | passed | 0.00025 seconds |
./spec/lru_spec.rb[1:3:2:1]             | passed | 0.00016 seconds |
./spec/lru_spec.rb[1:3:2:2]             | passed | 0.00018 seconds |
./spec/lru_spec.rb[1:4:1]               | passed | 0.00012 seconds |
./spec/lru_spec.rb[1:5:1]               | passed | 0.00014 seconds |
./spec/lru_spec.rb[1:6:1]               | passed | 0.00083 seconds |
./spec/lru_spec.rb[1:6:2]               | passed | 0.0003 seconds  |
./spec/lru_spec.rb[1:7:1]               | passed | 0.0004 seconds  |
./spec/lru_spec.rb[2:1:1]               | passed | 0.00332 seconds |
./spec/lru_spec.rb[2:1:2]               | passed | 0.00031 seconds |
./spec/lru_spec.rb[2:1:3]               | passed | 0.00016 seconds |
./spec/lru_spec.rb[2:1:4]               | passed | 0.0002 seconds  |
./spec/lru_spec.rb[2:2:1]               | passed | 0.0002 seconds  |
./spec/lru_spec.rb[2:2:2]               | passed | 0.00017 seconds |
./spec/lru_spec.rb[2:2:3]               | passed | 0.00021 seconds |
./spec/lru_spec.rb[2:2:4]               | passed | 0.00017 seconds |
./spec/lru_spec.rb[2:3:1]               | passed | 0.00514 seconds |
./spec/node_spec.rb[1:1:1]              | passed | 0.00034 seconds |
./spec/node_spec.rb[1:2:1]              | passed | 0.00024 seconds |
./spec/node_spec.rb[1:2:2]              | passed | 0.00011 seconds |
./spec/node_spec.rb[1:2:3]              | passed | 0.00017 seconds |
./spec/node_spec.rb[1:2:4]              | passed | 0.00013 seconds |
./spec/node_spec.rb[1:2:5]              | passed | 0.00019 seconds |
./spec/node_spec.rb[1:2:6]              | passed | 0.00022 seconds |
./spec/node_spec.rb[1:2:7]              | passed | 0.00019 seconds |
./spec/node_spec.rb[1:3:1]              | passed | 0.00287 seconds |
./spec/node_spec.rb[1:3:2]              | passed | 0.00041 seconds |
./spec/node_spec.rb[1:4:1]              | passed | 0.00036 seconds |
./spec/node_spec.rb[1:5:1]              | passed | 0.01226 seconds |
./spec/node_spec.rb[1:5:2]              | passed | 0.00037 seconds |
./spec/node_spec.rb[1:5:3]              | passed | 0.01234 seconds |
./spec/node_spec.rb[1:5:4]              | passed | 0.00034 seconds |
./spec/node_spec.rb[1:5:5]              | passed | 0.00035 seconds |
./spec/node_spec.rb[1:5:6]              | passed | 0.00047 seconds |
./spec/node_spec.rb[1:5:7]              | passed | 0.00056 seconds |
./spec/node_spec.rb[1:5:8]              | passed | 0.00022 seconds |
./spec/node_spec.rb[1:5:9]              | passed | 0.0004 seconds  |
./spec/node_spec.rb[1:5:10]             | passed | 0.00024 seconds |
./spec/node_spec.rb[1:5:11]             | passed | 0.00024 seconds |
./spec/node_spec.rb[1:5:12]             | passed | 0.0003 seconds  |
./spec/node_spec.rb[1:5:13]             | passed | 0.00025 seconds |
./spec/node_spec.rb[1:5:14]             | passed | 0.00015 seconds |
./spec/performance_spec.rb[1:1:1]       | passed | 0.01761 seconds |
./spec/performance_spec.rb[1:1:2]       | passed | 0.00312 seconds |
./spec/performance_spec.rb[1:2:1]       | passed | 0.00575 seconds |
./spec/performance_spec.rb[1:3:1]       | passed | 0.40356 seconds |
./spec/performance_spec.rb[1:4:1]       | passed | 0.00212 seconds |
./spec/performance_spec.rb[1:4:2]       | passed | 0.01179 seconds |
./spec/performance_spec.rb[1:5:1]       | passed | 0.00315 seconds |
./spec/radix_tree_spec.rb[1:1:1]        | passed | 0.00027 seconds |
./spec/radix_tree_spec.rb[1:1:2]        | passed | 0.00046 seconds |
./spec/radix_tree_spec.rb[1:1:3]        | passed | 0.00031 seconds |
./spec/radix_tree_spec.rb[1:1:4]        | passed | 0.00022 seconds |
./spec/radix_tree_spec.rb[1:2:1]        | passed | 0.00093 seconds |
./spec/radix_tree_spec.rb[1:2:2]        | passed | 0.00034 seconds |
./spec/radix_tree_spec.rb[1:2:3]        | passed | 0.00099 seconds |
./spec/radix_tree_spec.rb[1:2:4]        | passed | 0.00026 seconds |
./spec/radix_tree_spec.rb[1:2:5]        | passed | 0.00083 seconds |
./spec/radix_tree_spec.rb[1:3:1]        | passed | 0.00194 seconds |
./spec/radix_tree_spec.rb[1:3:2]        | passed | 0.00235 seconds |
./spec/radix_tree_spec.rb[1:3:3]        | passed | 0.00164 seconds |
./spec/radix_tree_spec.rb[1:3:4]        | passed | 0.00134 seconds |
./spec/radix_tree_spec.rb[1:3:5]        | passed | 0.00093 seconds |
./spec/radix_tree_spec.rb[1:3:6]        | passed | 0.00051 seconds |
./spec/radix_tree_spec.rb[1:3:7]        | passed | 0.00058 seconds |
./spec/radix_tree_spec.rb[1:3:8]        | passed | 0.02528 seconds |
./spec/radix_tree_spec.rb[1:3:9]        | passed | 0.00081 seconds |
./spec/radix_tree_spec.rb[1:3:10]       | passed | 0.00126 seconds |
./spec/radix_tree_spec.rb[1:4:1]        | passed | 0.00041 seconds |
./spec/radix_tree_spec.rb[1:4:2]        | passed | 0.00046 seconds |
./spec/radix_tree_spec.rb[1:4:3]        | passed | 0.00244 seconds |
./spec/radix_tree_spec.rb[1:4:4]        | passed | 0.06982 seconds |
./spec/radix_tree_spec.rb[1:5:1]        | passed | 0.00053 seconds |
./spec/radix_tree_spec.rb[1:5:2]        | passed | 0.00048 seconds |
